name,phone_category,phone
Urgencias,"Telefonos de Interes General",112
"Asociación de usuarios de servicios bancarios ( Ausbanc )",Consumidor,915416161
"Ministerio de Sanidad y Consumo",Consumidor,915961089
"Instituto Nacional del Consumo",Consumidor,914311836
"Confederación de Consumidores y Usuarios de ámbito estatal ( CECU )",Consumidor,913640276
"Federación de Usuarios y Consumidores Independientes ( FUCI )",Consumidor,915640118
"Organización de Consumidores y Usuarios ( OCU )",Consumidor,913000045
"Unión de COnsumidores de España ( UCE )",Consumidor,917131284
"Oficina del Asegurado",Consumidor,902102900
"Agencia de Protección de Datos",Consumidor,913996200
Correos,"Telefonos de Interes General",902197197
"Consejería de Servicios Sociales de la Comunidad de Madrid",Discapacitados,914206900
"Real Patronato sobre Discapacidad",Discapacitados,917452441
"Centro de Recuperación de Disminuidos Físicos ( CRMF )",Discapacitados,914781011
"Centro Estatal de Autonomía Personal y Ayudas Técnicas para Minusválidos",Discapacitados,913634800
"Taxis adaptados para usuarios con sillas de ruedas",Discapacitados,915478600
"Ministerio de Euación, Cultura y Deporte",Discapacitados,917018000
"Consejería de Eduación de la Comunidad de Madrid",Educación,917200204
"Subdirección General de Becas y Promoción Educativa del Ministerio de Educación Cultura y Deporte",Educación,913778300
"Agencia Nacional Sócrates",Educación,915065685
"Secretaría de Estado de Educación y Universidades",Educación,915505400
"Instituto Nacional de Empleo ( INEM )",Empleo,915859888
"Oficinas de Empleo de la Comunidad de Madrid",Empleo,916340528
"Empleo Público - Centro de Información Administrativa",Empleo,915861400
"Información y Asesoramiento para la PYME","Empresa / Impuestos",900190092
"Programa de Asesoramiento a Empresarios Seniors","Empresa / Impuestos",914297094
"Registro Mercantil Central","Empresa / Impuestos",915631252
"Cámara de Comercio e Industria de Madrid","Empresa / Impuestos",915383500
"Agencia Estatal de Administración Tributaria ( AEAT )","Empresa / Impuestos",901335533
"Instituto de la Juventud",Jovenes,913637700
"Dirección General de Juventud de la Comunidad de Madrid",Jovenes,917201182
"Carnet Joven, Información",Jovenes,917201153
"Turismo Internacional, Viajes e Intercambio ( TIVE )",Jovenes,915437412
"Escuela Joven de iniciativas Empresariales",Jovenes,915562044
"Centro Juvenil de orientación Laboral",Jovenes,915045470
"Bolsa de vivienda joven en alquiler",Jovenes,915804756
"Dirección General del Mayor de la Comunidad de Madrid",Mayores,915809470
"Programa de vacaciones para personas mayores ( IMSERSO )",Mayores,901109899
"Teléfono Dorado de Atención a la Tercera Edad",Mayores,900222223
"Instituto de la Mujer",Mujer,913638000
"Servicio 24 horas de Orientación e información para Mujeres",Mujer,900191010
"Servicio de Orientación de los Derechos de la Mujer",Mujer,917001910
"Dirección General de la Mujer de la Comunidad de Madrid",Mujer,914208593
"Mujeres maltratadas",Mujer,914208622
"Asociación de Asistencia a Mujeres Violadas",Mujer,915740110
"Comisión para la investigación de malos tratos a mujeres",Mujer,913082704
"Teléfono de la Mujer",Mujer,900100009
"Servicio de Atención a la Violencia Doméstica 24 horas",Mujer,900222100
"Dirección General de Acción Social del Menor y de la Familia",Niños,913637000
"Defensor del Menor de la Comunidad de Madrid",Niños,915634411
"Dispositivo de Emergencia para abandono o maltrato de menores",Niños,900100333
"Adopciones: Información sobre requisitos y tramitación",Niños,915803458
"Asociación de Ayuda al Menor - Fundación ANAR",Niños,900202010
"Asociación Española de padres de niños Autistas",Niños,917662222
"Asociación para la integración del Menor ( PIDEIA )",Niños,914295132
"Meniños - Fundación para la infancia",Niños,913980465
"Centro ocupacional para niños - Taller de Informática",Niños,919786955
"Centro ocupacional para niños - Taller de Hostelería",Niños,917971765
"Centro ocupacional para niños - Programa de Infancia y Juventud",Niños,917986085
"Consejo General de Administradores de Fincas de España","Colegios de Aministradores de Fincas de España",915757369
"Colegio Territorial de Administradores de Fincas de Galicia","Colegios de Aministradores de Fincas de España",981126162
"Colegio Territorial de Administradores de Fincas de Asturias","Colegios de Aministradores de Fincas de España",985274716
"Colegio Territorial de Administradores de Fincas de Cantábria","Colegios de Aministradores de Fincas de España",942230031
"Colegio Territorial de Administradores de Fincas de Guipuzcoa y Álava","Colegios de Aministradores de Fincas de España",943286351
"Colegio Territorial de Administradores de Fincas de Vizcaya","Colegios de Aministradores de Fincas de España",944246124
"Colegio Territorial de Administradores de Fincas de Navarra","Colegios de Aministradores de Fincas de España",948170742
"Colegio Territorial de Administradores de Fincas de La Rioja","Colegios de Aministradores de Fincas de España",941212314
"Colegio Territorial de Administradores de Fincas de Aragón","Colegios de Aministradores de Fincas de España",976217374
"Colegio Territorial de Administradores de Fincas de Madrid","Colegios de Aministradores de Fincas de España",915919670
"Colegio Territorial de Administradores de Fincas de Barcelona y Lleida","Colegios de Aministradores de Fincas de España",934510202
"Colegio Territorial de Administradores de Fincas de Tarragona","Colegios de Aministradores de Fincas de España",977235421
"Colegio Territorial de Administradores de Fincas de Gerona","Colegios de Aministradores de Fincas de España",972205667
"Colegio Territorial de Administradores de Fincas de Burgos y Soria","Colegios de Aministradores de Fincas de España",947201592
"Colegio Territorial de Administradores de Fincas de León","Colegios de Aministradores de Fincas de España",987270973
"Colegio Territorial de Administradores de Fincas de Palencia","Colegios de Aministradores de Fincas de España",979784832
"Colegio Territorial de Administradores de Fincas de Zamora","Colegios de Aministradores de Fincas de España",923271725
"Colegio Territorial de Administradores de Fincas de Valladolid","Colegios de Aministradores de Fincas de España",983358901
"Colegio Territorial de Administradores de Fincas de Segovia","Colegios de Aministradores de Fincas de España",921462211
"Colegio Territorial de Administradores de Fincas de Salamanca","Colegios de Aministradores de Fincas de España",923271725
"Colegio Territorial de Administradores de Fincas de Ávila","Colegios de Aministradores de Fincas de España",920224550
"Colegio Territorial de Administradores de Fincas de Guadalajara","Colegios de Aministradores de Fincas de España",949222446
"Colegio Territorial de Administradores de Fincas de Albacete y Cuenca","Colegios de Aministradores de Fincas de España",967663029
"Colegio Territorial de Administradores de Fincas de Toledo","Colegios de Aministradores de Fincas de España",925216661
"Colegio Territorial de Administradores de Fincas de Ciudad Real","Colegios de Aministradores de Fincas de España",926211754
"Colegio Territorial de Administradores de Fincas de Extremadura","Colegios de Aministradores de Fincas de España",924261158
"Colegio Territorial de Administradores de Fincas de Valencia","Colegios de Aministradores de Fincas de España",963153132  
"Colegio Territorial de Administradores de Fincas de Alicante","Colegios de Aministradores de Fincas de España",965208196
"Colegio Territorial de Administradores de Fincas de Murcia","Colegios de Aministradores de Fincas de España",968211356
"Colegio Territorial de Administradores de Fincas de Sevilla y Huelva","Colegios de Aministradores de Fincas de España",954229987
"Colegio Territorial de Administradores de Fincas de Córdoba","Colegios de Aministradores de Fincas de España",957473431
"Colegio Territorial de Administradores de Fincas de Jaén","Colegios de Aministradores de Fincas de España",953212314
"Colegio Territorial de Administradores de Fincas de Granada","Colegios de Aministradores de Fincas de España",958291069
"Colegio Territorial de Administradores de Fincas de Málaga y Melilla","Colegios de Aministradores de Fincas de España",952302221
"Colegio Territorial de Administradores de Fincas de Cádiz y Ceuta","Colegios de Aministradores de Fincas de España",956307286
"Colegio Territorial de Administradores de Fincas de Almería","Colegios de Aministradores de Fincas de España",950242304
"Colegio Territorial de Administradores de Fincas de Baleares","Colegios de Aministradores de Fincas de España",971460245
"Colegio Territorial de Administradores de Fincas de S. C. Tenerife","Colegios de Aministradores de Fincas de España",922289555
"Colegio Territorial de Administradores de Fincas de Las Palmas","Colegios de Aministradores de Fincas de España",928370368
"Amnistía Internacional",Ong,902119133
ANESVAD,Ong,915359059
"Ayuda en Acción",Ong,902402404
"Cáritas Diocesana de MAdrid",Ong,915489580
"Cruz Roja española",Ong,913354444
"Intermón Oxfam",Ong,915480458
"Manos Unidas",Ong,913082020
"Médicos Sin Fronteras",Ong,915411375
"Solidarios para el desarrollo",Ong,902123125
"Ministerio de Sanidad y Consumo",Sanidad,915961089
"Cruz Roja",Sanidad,902222292
"Consejería de Sanidad de la Comunidad de Madrid",Sanidad,915867141
"Organización Nacional de Trasplantes de órganos",Sanidad,913142406
"Asociación en defensa de la atención a la Anorexia y Bulimia",Sanidad,915770261
"Asociación Española contra el Cáncer ( AECC )",Sanidad,900100036
"Fundación Alzheimer España",Sanidad,913431165
"Plan Nacional de Drogas",Sanidad,902161515
"Fundación de Ayuda contra la Drogadicción ( FAD )",Sanidad,900161515
"Proyecto Hombre",Sanidad,915420271
"Alcohólicos Anónimos",Sanidad,913418282
"Ayuda a Ludópatas",Sanidad,913270604
"Ministerio de Trabajo y Asuntos Sociales","Servicios Sociales",914206900
"Teléfono de la Esperanza","Servicios Sociales",914590050
"Canal de Isabel II",Suministros,901516516
Endesa,Suministros,902509950
Iberdrola,Suministros,901202020
"Unión Fenosa",Suministros,904068000
"Gas Natural",Suministros,900760760
"Repsol Gas",Suministros,901100100
"American Express","Tarjetas de crédito",902375637
"Caja Madrid ( Visa Electrón )","Tarjetas de crédito",915193800
"4B ( Visa MasterCard )","Tarjetas de crédito",9023626200
"Diners Club","Tarjetas de crédito",901101011
"Servired ( Visa, MasterCard )","Tarjetas de crédito",902192100
"Red 6000","Tarjetas de crédito",915965335
Aló,Telefonía,902107701
"BT Ignite",Telefonía,1433
Jazztel,Telefonía,1565
"Grupo Auna",Telefonía,015
Telefónica,Telefonía,1004
Tele2,Telefonía,901107366
Uni2,Telefonía,902011414
"Amena clientes",Telefonía,470
"Amena no clientes",Telefonía,1474
Moviline,Telefonía,1435
Movistar,Telefonía,1485
Vodafone,Telefonía,1444
"Dirección General de Tráfico",Tráfico,900123505
"Jefatura Provincial de Tráfico",Tráfico,903015800
"Información sobre el estado de las carreteras",Tráfico,900123505
"Aeropuerto de Barajas ( AENA )",Transportes,913936000
"Autobús Madrid - Aeropuerto",Transportes,914068810
"Empresa Municipal de Transportes de Madrid ( EMT )",Tráfico,914068810
"Metro de Madrid",Tráfico,902444403
Renfe,Tráfico,902240202
"Ministerio de Justicia","Tribunales y Asuntos judiciales",913904500
"Defensor del Pueblo","Tribunales y Asuntos judiciales",914327900
"Tribunal Constitucional","Tribunales y Asuntos judiciales",915508000
"Audiencia Nacional","Tribunales y Asuntos judiciales",913973339
"Tribunal Superior de Justicia","Tribunales y Asuntos judiciales",913971800
"Audiencia Provincial de Madrid","Tribunales y Asuntos judiciales",913971899
"Certificados de Antecedentes penales","Tribunales y Asuntos judiciales",913904500
